State,year,Annual Average Pay,County,dispensaries_cnt,Unemployment Rate,Latitude,Longitude,deaths,Population,multiple_cod,opioid_related
UT,2015,50117,Salt Lake County,,3.4,40.667883,-111.92424,25,1107314,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,80942,Fairfax County,,3.6,38.82952,-77.273252,16,1142234,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Chesapeake city,,4.5,36.679376,-76.301788,22,235429,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Hampton city,,6,37.04803,-76.297149,16,136454,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Newport News city,,5.4,37.076166,-76.521968,16,182385,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Norfolk city,,5.6,36.923015,-76.244641,31,246393,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Roanoke city,,4.9,37.278458,-79.958174,10,99897,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
VA,2015,,Virginia Beach city,,4.3,36.779985,-76.025209,32,452745,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
WA,2015,44066,Spokane County,,6.6,47.620375,-117.403371,41,490945,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
AL,2015,52292,Jefferson County,,5.8,33.553444,-86.896536,80,660367,Heroin,TRUE
AK,2015,57101,Anchorage Borough,,,61.17425,-149.284329,19,298695,Heroin,TRUE
AZ,2015,50437,Maricopa County,32,5.1,33.346541,-112.495534,143,4167947,Heroin,TRUE
AZ,2015,43620,Pima County,3,5.4,32.128523,-111.783027,63,1010025,Heroin,TRUE
CA,2015,68791,Alameda County,11,4.7,37.647139,-121.912488,12,1638215,Heroin,TRUE
CA,2015,63792,Contra Costa County,4,5,37.919479,-121.951543,13,1126745,Heroin,TRUE
CA,2015,44142,Kern County,3,10.2,35.346629,-118.729506,24,882176,Heroin,TRUE
CA,2015,58742,Los Angeles County,38,6.6,34.196398,-118.261862,126,10170292,Heroin,TRUE
CA,2015,59708,Orange County,20,4.4,33.675687,-117.777207,74,3169776,Heroin,TRUE
CA,2015,43051,Riverside County,14,6.7,33.729828,-116.002239,59,2361026,Heroin,TRUE
CA,2015,57067,Sacramento County,5,6,38.450011,-121.340441,11,1501335,Heroin,TRUE
CA,2015,43396,San Bernardino County,9,6.4,34.85722,-116.181197,17,2128133,Heroin,TRUE
CA,2015,58069,San Diego County,11,5.2,33.023604,-116.776117,72,3299521,Heroin,TRUE
CA,2015,97067,San Francisco County,8,,37.727239,-123.032229,24,864816,Heroin,TRUE
CA,2015,50269,Santa Barbara County,3,5.3,34.537057,-120.039973,16,444769,Heroin,TRUE
CA,2015,113390,Santa Clara County,5,4.2,37.220777,-121.690622,18,1918044,Heroin,TRUE
CA,2015,46189,Santa Cruz County,1,7.5,37.012488,-122.007205,12,274146,Heroin,TRUE
CA,2015,49398,Sonoma County,2,4.5,38.525182,-122.92611,16,502146,Heroin,TRUE
CA,2015,53930,Ventura County,3,5.6,34.358741,-119.133143,26,850536,Heroin,TRUE
CO,2015,50106,Adams County,,4.4,39.874325,-104.331872,14,491337,Heroin,TRUE
CO,2015,61063,Arapahoe County,1,3.7,39.644554,-104.331706,12,631096,Heroin,TRUE
KY,2015,51388,Jefferson County,,4.8,38.189532,-85.657624,67,763623,Heroin,TRUE
KY,2015,49002,Kenton County,,4.5,38.930503,-84.533438,46,165012,Heroin,TRUE
KY,2015,37081,Madison County,,4.4,37.723592,-84.276998,11,87824,Heroin,TRUE
LA,2015,49155,East Baton Rouge Parish,,5.4,30.54393,-91.093131,16,446753,Heroin,TRUE
LA,2015,46763,Jefferson Parish,,5.8,29.5033,-90.036231,47,436275,Heroin,TRUE
LA,2015,50155,Orleans Parish,,6.5,30.05342,-89.934502,12,389617,Heroin,TRUE
LA,2015,44533,St. Tammany Parish,,5.4,30.410022,-89.951962,15,250088,Heroin,TRUE
ME,2015,47508,Cumberland County,3,3.3,43.808348,-70.330375,18,289977,Heroin,TRUE
MD,2015,55711,Anne Arundel County,2,4.4,38.993579,-76.56048,44,564195,Heroin,TRUE
MD,2015,52344,Baltimore County,1,5.3,39.443167,-76.616569,78,831128,Heroin,TRUE
MD,2015,41309,Carroll County,,4.2,39.563301,-77.015368,13,167627,Heroin,TRUE
MD,2015,45001,Cecil County,,6,39.562354,-75.941585,10,102382,Heroin,TRUE
MD,2015,43046,Charles County,1,5,38.472853,-77.015427,10,156118,Heroin,TRUE
MD,2015,49206,Frederick County,,4.5,39.470429,-77.397624,16,245322,Heroin,TRUE
MD,2015,50125,Harford County,,4.9,39.537429,-76.299789,16,250290,Heroin,TRUE
MD,2015,63992,Howard County,2,3.8,39.252264,-76.924406,13,313414,Heroin,TRUE
MD,2015,70229,Montgomery County,7,3.9,39.137381,-77.203063,27,1040116,Heroin,TRUE
MD,2015,54646,Prince George's County,,5.3,38.82588,-76.847272,20,909535,Heroin,TRUE
MD,2015,40236,Washington County,,5.6,39.603621,-77.814671,18,149585,Heroin,TRUE
MD,2015,,Baltimore city,2,7.5,39.300032,-76.610476,100,621849,Heroin,TRUE
MA,2015,44220,Barnstable County,2,6.2,41.799014,-70.21188,14,214333,Heroin,TRUE
MA,2015,43500,Berkshire County,2,5.4,42.375314,-73.213948,15,127828,Heroin,TRUE
MA,2015,48130,Bristol County,3,6.1,41.746863,-71.090509,25,556772,Heroin,TRUE
MA,2015,55057,Essex County,3,5,42.642711,-70.865107,86,776043,Heroin,TRUE
MA,2015,39991,Franklin County,,4.4,42.584504,-72.591792,10,70601,Heroin,TRUE
MA,2015,47761,Hampden County,2,6.6,42.136198,-72.635648,55,470690,Heroin,TRUE
OH,2015,41169,Allen County,,4.8,40.771627,-84.106103,10,104425,Heroin,TRUE
MA,2015,79228,Middlesex County,5,3.9,42.481711,-71.394917,110,1585139,Heroin,TRUE
MA,2015,61918,Norfolk County,4,4.3,42.17175,-71.181115,57,696023,Heroin,TRUE
MA,2015,49071,Plymouth County,2,5.1,41.987196,-70.741942,65,510393,Heroin,TRUE
MA,2015,89924,Suffolk County,1,4.5,42.33196,-71.020173,85,778121,Heroin,TRUE
MA,2015,51929,Worcester County,2,5.2,42.311693,-71.940282,102,818963,Heroin,TRUE
MI,2015,48307,Calhoun County,,5.1,42.24299,-85.012385,18,134314,Heroin,TRUE
MI,2015,44793,Eaton County,,4.4,42.589614,-84.846524,10,108801,Heroin,TRUE
MI,2015,43622,Genesee County,,6.1,43.021077,-83.706372,22,410849,Heroin,TRUE
MI,2015,49046,Ingham County,,4.7,42.603534,-84.373811,28,286085,Heroin,TRUE
MI,2015,46358,Kent County,2,3.7,43.032497,-85.547446,36,636369,Heroin,TRUE
MI,2015,52049,Macomb County,4,5.8,42.671467,-82.910869,109,864840,Heroin,TRUE
MI,2015,46352,Monroe County,,4.5,41.916097,-83.487106,20,149568,Heroin,TRUE
MI,2015,40383,Muskegon County,,5.8,43.289258,-86.751892,15,172790,Heroin,TRUE
MI,2015,58447,Oakland County,2,4.8,42.660452,-83.38421,22,1242304,Heroin,TRUE
MI,2015,41911,St. Clair County,,6.8,42.928803,-82.668913,10,159875,Heroin,TRUE
MI,2015,54985,Washtenaw County,,3.7,42.252327,-83.844634,25,358880,Heroin,TRUE
MI,2015,58133,Wayne County,2,6.9,42.284664,-83.261953,234,1759335,Heroin,TRUE
MN,2015,66104,Hennepin County,,3.3,45.006121,-93.475228,47,1223149,Heroin,TRUE
MN,2015,59710,Ramsey County,,3.6,45.01525,-93.100141,10,538133,Heroin,TRUE
MN,2015,43039,St. Louis County,,5,47.578635,-92.51457,12,200431,Heroin,TRUE
MS,2015,33270,DeSoto County,,4.8,34.874266,-89.99324,13,173323,Heroin,TRUE
MO,2015,37650,Franklin County,,5.1,38.408313,-91.07341,11,102426,Heroin,TRUE
MO,2015,39764,Greene County,,4.1,37.258196,-93.340641,16,288072,Heroin,TRUE
MO,2015,52781,Jackson County,,5.9,39.005441,-94.343326,11,687623,Heroin,TRUE
MO,2015,34857,Jefferson County,,4.8,38.257599,-90.543542,30,224124,Heroin,TRUE
MO,2015,42675,St. Charles County,,3.8,38.781102,-90.674915,28,385590,Heroin,TRUE
MO,2015,55491,St. Louis County,,4.6,38.640702,-90.445954,88,1003362,Heroin,TRUE
MO,2015,,St. Louis city,,6,38.635699,-90.244582,62,315685,Heroin,TRUE
NV,2015,45013,Clark County,15,6.9,36.214257,-115.013812,58,2114801,Heroin,TRUE
NV,2015,46078,Washoe County,2,6.3,40.734015,-119.662272,10,446903,Heroin,TRUE
NH,2015,57175,Hillsborough County,,3.5,42.911532,-71.723055,38,406678,Heroin,TRUE
NH,2015,51972,Rockingham County,,3.6,42.988599,-71.099072,15,301777,Heroin,TRUE
NJ,2015,43711,Atlantic County,,9.6,39.469354,-74.633758,30,274219,Heroin,TRUE
NJ,2015,63162,Bergen County,,4.7,40.959698,-74.074727,53,938506,Heroin,TRUE
NJ,2015,36123,Cape May County,,11.1,39.086142,-74.847716,14,94727,Heroin,TRUE
NJ,2015,64781,Essex County,,6.9,40.7874,-74.246292,62,797434,Heroin,TRUE
NJ,2015,71682,Hudson County,,5.4,40.731375,-74.078601,33,674836,Heroin,TRUE
NJ,2015,68841,Mercer County,,5,40.282503,-74.703724,29,371398,Heroin,TRUE
NJ,2015,63556,Middlesex County,,5.2,40.439613,-74.407579,47,840900,Heroin,TRUE
NJ,2015,51671,Monmouth County,,5.2,40.287048,-74.152446,58,628715,Heroin,TRUE
NJ,2015,79853,Morris County,,4.4,40.858581,-74.547427,30,499509,Heroin,TRUE
NJ,2015,42098,Ocean County,,6.2,39.865669,-74.258864,28,588721,Heroin,TRUE
NJ,2015,52158,Passaic County,,7.1,41.03789,-74.29828,30,510916,Heroin,TRUE
NJ,2015,85163,Somerset County,,4.6,40.565527,-74.619938,11,333654,Heroin,TRUE
NJ,2015,43558,Sussex County,,5.5,41.137461,-74.691914,13,143673,Heroin,TRUE
NJ,2015,67345,Union County,,6.1,40.659871,-74.308696,32,555786,Heroin,TRUE
NM,2015,44449,Bernalillo County,,5.9,35.054002,-106.669064,70,676685,Heroin,TRUE
NM,2015,31903,Rio Arriba County,,8,36.509669,-106.693983,14,39465,Heroin,TRUE
NM,2015,43370,Santa Fe County,,5.4,35.514324,-105.965771,17,148686,Heroin,TRUE
NY,2015,54226,Albany County,,4.3,42.58824,-73.97401,16,309381,Heroin,TRUE
NY,2015,48936,Bronx County,1,7.8,40.848711,-73.852939,104,1455444,Heroin,TRUE
NY,2015,40514,Broome County,,6,42.161977,-75.830283,12,196567,Heroin,TRUE
NY,2015,50693,Dutchess County,,4.5,41.75477,-73.740041,29,295754,Heroin,TRUE
NY,2015,46169,Erie County,1,5.3,42.752759,-78.778192,66,922578,Heroin,TRUE
NY,2015,44049,Kings County,2,5.9,40.635045,-73.95064,99,2636735,Heroin,TRUE
NY,2015,49170,Monroe County,1,5.1,43.464475,-77.664656,45,749600,Heroin,TRUE
NY,2015,58548,Nassau County,1,4.2,40.729612,-73.589414,74,1361350,Heroin,TRUE
NY,2015,113682,New York County,5,4.9,40.776642,-73.970187,67,1644518,Heroin,TRUE
NY,2015,39836,Niagara County,,6.2,43.456731,-78.792142,13,212652,Heroin,TRUE
NY,2015,40523,Oneida County,,5.3,43.242727,-75.434282,15,232500,Heroin,TRUE
NY,2015,48025,Onondaga County,,4.9,43.006516,-76.196134,42,468463,Heroin,TRUE
NY,2015,43803,Orange County,,4.7,41.40241,-74.306252,37,377647,Heroin,TRUE
NY,2015,42357,Oswego County,,7.2,43.461443,-76.209262,10,120146,Heroin,TRUE
NY,2015,49325,Queens County,1,5,40.658566,-73.838017,65,2339150,Heroin,TRUE
NY,2015,45751,Richmond County,,5.8,40.561263,-74.1399,28,474558,Heroin,TRUE
NY,2015,55165,Rockland County,,4.5,41.154639,-74.024645,12,326037,Heroin,TRUE
NY,2015,56185,Suffolk County,,4.7,40.943554,-72.692218,144,1501587,Heroin,TRUE
NY,2015,38745,Sullivan County,,5.4,41.719993,-74.771577,10,74877,Heroin,TRUE
NY,2015,40671,Ulster County,,4.8,41.947212,-74.265458,15,180143,Heroin,TRUE
NY,2015,69701,Westchester County,1,4.5,41.15277,-73.745912,43,976396,Heroin,TRUE
NC,2015,36721,Brunswick County,,7.3,34.038754,-78.227765,11,122765,Heroin,TRUE
NC,2015,39713,Buncombe County,,4.4,35.609371,-82.530426,14,253178,Heroin,TRUE
NC,2015,40086,Cumberland County,,7.3,35.050192,-78.828719,23,323838,Heroin,TRUE
NC,2015,49423,Forsyth County,,5.5,36.132466,-80.256961,24,369019,Heroin,TRUE
NC,2015,38468,Gaston County,,6,35.293344,-81.177256,12,213442,Heroin,TRUE
NC,2015,45750,Guilford County,,5.9,36.079065,-79.788665,23,517600,Heroin,TRUE
NC,2015,62388,Mecklenburg County,,5.4,35.246862,-80.833832,35,1034070,Heroin,TRUE
NC,2015,41471,New Hanover County,,5.4,34.177875,-77.869674,24,220358,Heroin,TRUE
NC,2015,34245,Randolph County,,5.7,35.709915,-79.806215,11,142799,Heroin,TRUE
NC,2015,40882,Rowan County,,6.1,35.641329,-80.521722,11,139142,Heroin,TRUE
NC,2015,52759,Wake County,,4.7,35.789846,-78.650624,32,1024198,Heroin,TRUE
OH,2015,46219,Butler County,,4.6,39.439747,-84.565734,113,376353,Heroin,TRUE
OH,2015,36989,Clark County,,5,39.917032,-83.783676,27,135959,Heroin,TRUE
OH,2015,42381,Clermont County,,4.5,39.052084,-84.149614,69,201973,Heroin,TRUE
OH,2015,53547,Cuyahoga County,,5.2,41.760392,-81.724217,158,1255921,Heroin,TRUE
OH,2015,52822,Franklin County,1,4.1,39.969575,-83.006865,136,1251722,Heroin,TRUE
OH,2015,51411,Greene County,,4.4,39.687479,-83.894894,13,164427,Heroin,TRUE
OH,2015,56496,Hamilton County,1,4.5,39.196927,-84.544187,220,807598,Heroin,TRUE
OH,2015,43109,Lake County,,4.5,41.924116,-81.392643,22,229245,Heroin,TRUE
OH,2015,33762,Lawrence County,,5.9,38.603866,-82.517186,13,61109,Heroin,TRUE
OH,2015,41398,Lorain County,,5.6,41.438805,-82.179722,30,305147,Heroin,TRUE
OH,2015,45429,Lucas County,1,5.3,41.682321,-83.468903,60,433689,Heroin,TRUE
OH,2015,37007,Mahoning County,,6.1,41.01088,-80.770396,30,231900,Heroin,TRUE
OH,2015,38454,Marion County,,5.1,40.588034,-83.168803,10,65355,Heroin,TRUE
OH,2015,40270,Medina County,,4.1,41.116174,-81.899764,15,176395,Heroin,TRUE
OH,2015,44899,Montgomery County,1,5,39.753736,-84.290591,97,532258,Heroin,TRUE
OH,2015,42355,Portage County,1,4.9,41.168837,-81.197042,15,162275,Heroin,TRUE
OH,2015,36031,Richland County,,5.6,40.774159,-82.542781,23,121707,Heroin,TRUE
OH,2015,42531,Ross County,,5.3,39.323818,-83.059581,20,77170,Heroin,TRUE
OH,2015,35745,Scioto County,,7.6,38.814889,-82.998675,10,76825,Heroin,TRUE
OH,2015,39514,Stark County,,5.3,40.814131,-81.365667,21,375165,Heroin,TRUE
OH,2015,47057,Summit County,1,5,41.121851,-81.534936,43,541968,Heroin,TRUE
OH,2015,39969,Trumbull County,,6.4,41.305911,-80.768701,49,203751,Heroin,TRUE
OH,2015,45720,Warren County,,4.1,39.425652,-84.169906,15,224469,Heroin,TRUE
OH,2015,42651,Wood County,,4.3,41.360183,-83.622682,14,129730,Heroin,TRUE
OK,2015,48794,Tulsa County,,4.1,36.120318,-95.941813,10,639242,Heroin,TRUE
OR,2015,48856,Clackamas County,,5.1,45.160493,-122.195127,11,401515,Heroin,TRUE
OR,2015,40828,Lane County,2,5.8,43.928329,-122.89769,10,362895,Heroin,TRUE
OR,2015,53451,Multnomah County,7,4.9,45.547693,-122.417173,40,790294,Heroin,TRUE
OR,2015,65620,Washington County,1,4.7,45.553542,-123.097615,12,574326,Heroin,TRUE
PA,2015,57681,Allegheny County,1,5,40.469757,-79.980451,221,1230459,Heroin,TRUE
PA,2015,42126,Beaver County,,6,40.68414,-80.350721,11,168871,Heroin,TRUE
PA,2015,46977,Berks County,1,4.9,40.413957,-75.92686,11,415271,Heroin,TRUE
PA,2015,49385,Bucks County,,4.7,40.336887,-75.10706,13,627367,Heroin,TRUE
PA,2015,48664,Butler County,,4.7,40.913847,-79.918978,30,186818,Heroin,TRUE
PA,2015,36777,Cambria County,,6.6,40.510312,-78.710463,20,136411,Heroin,TRUE
PA,2015,37272,Crawford County,,5.2,41.687876,-80.107795,10,86484,Heroin,TRUE
PA,2015,56232,Delaware County,1,4.9,39.91667,-75.398786,19,563894,Heroin,TRUE
PA,2015,40887,Erie County,1,5.5,42.117952,-80.096386,21,278045,Heroin,TRUE
PA,2015,36088,Fayette County,,7.5,39.918907,-79.640119,12,133628,Heroin,TRUE
PA,2015,38822,Lawrence County,1,6.3,40.992735,-80.334446,14,88082,Heroin,TRUE
PA,2015,65500,Montgomery County,2,4.2,40.209999,-75.370201,45,819264,Heroin,TRUE
PA,2015,45480,Northampton County,1,5.3,40.752791,-75.307447,23,300813,Heroin,TRUE
PA,2015,38917,Schuylkill County,,6.3,40.703682,-76.217788,10,144590,Heroin,TRUE
PA,2015,54383,Washington County,,5.6,40.200005,-80.252132,35,208261,Heroin,TRUE
PA,2015,44898,York County,,4.8,39.921751,-76.728889,36,442867,Heroin,TRUE
RI,2015,53261,Providence County,1,6.4,41.869765,-71.578626,37,633473,Heroin,TRUE
SC,2015,45694,Charleston County,,4.9,32.800458,-79.94248,23,389262,Heroin,TRUE
SC,2015,45371,Greenville County,,5,34.892645,-82.372077,16,491863,Heroin,TRUE
SC,2015,44651,Richland County,,5.7,34.029095,-80.898037,12,407051,Heroin,TRUE
TN,2015,56121,Davidson County,,4.4,36.169129,-86.78479,39,678889,Heroin,TRUE
TN,2015,45487,Knox County,,4.6,35.992726,-83.937721,20,451324,Heroin,TRUE
TN,2015,46024,Rutherford County,,4.5,35.843369,-86.417213,10,298612,Heroin,TRUE
TN,2015,52566,Shelby County,,6.4,35.183794,-89.895397,69,938069,Heroin,TRUE
TX,2015,47201,Bexar County,,3.8,29.448671,-98.520147,76,1897753,Heroin,TRUE
TX,2015,61631,Collin County,,3.6,33.194737,-96.579707,20,914127,Heroin,TRUE
TX,2015,63735,Dallas County,,4.3,32.766987,-96.778424,94,2553385,Heroin,TRUE
TX,2015,47176,Denton County,,3.6,33.205132,-97.12114,12,780612,Heroin,TRUE
TX,2015,36498,El Paso County,,5.2,31.766403,-106.24139,23,835593,Heroin,TRUE
TX,2015,69027,Harris County,,4.6,29.857273,-95.393037,78,4538028,Heroin,TRUE
TX,2015,45818,Nueces County,,4.9,27.738737,-97.51866,22,359715,Heroin,TRUE
TX,2015,52686,Tarrant County,,4.2,32.772119,-97.291224,42,1982498,Heroin,TRUE
TX,2015,59789,Travis County,,3.3,30.239513,-97.69127,33,1176558,Heroin,TRUE
TX,2015,34827,Webb County,,4.7,27.760799,-99.340752,13,269721,Heroin,TRUE
UT,2015,41372,Davis County,,3.4,41.037559,-112.201943,10,336043,Heroin,TRUE
UT,2015,50117,Salt Lake County,,3.4,40.667883,-111.92424,71,1107314,Heroin,TRUE
UT,2015,41618,Utah County,,3.3,40.120425,-111.668508,20,575205,Heroin,TRUE
UT,2015,38896,Weber County,,4.1,41.270328,-111.876794,11,243645,Heroin,TRUE
VT,2015,50570,Chittenden County,,2.7,44.463329,-73.06941,10,161382,Heroin,TRUE
VA,2015,44477,Chesterfield County,,4.3,37.378434,-77.585847,15,335687,Heroin,TRUE
VA,2015,80942,Fairfax County,,3.6,38.82952,-77.273252,33,1142234,Heroin,TRUE
VA,2015,40470,Hanover County,,3.9,37.760165,-77.490992,10,103227,Heroin,TRUE
VA,2015,51541,Henrico County,,4.3,37.43752,-77.300333,30,325155,Heroin,TRUE
VA,2015,44966,Prince William County,,4.1,38.701119,-77.479579,10,451721,Heroin,TRUE
VA,2015,38162,Spotsylvania County,,4.6,38.182431,-77.657226,10,130475,Heroin,TRUE
VA,2015,,Chesapeake city,,4.5,36.679376,-76.301788,17,235429,Heroin,TRUE
VA,2015,,Hampton city,,6,37.04803,-76.297149,11,136454,Heroin,TRUE
VA,2015,,Newport News city,,5.4,37.076166,-76.521968,10,182385,Heroin,TRUE
VA,2015,,Norfolk city,,5.6,36.923015,-76.244641,16,246393,Heroin,TRUE
VA,2015,,Richmond city,,5.2,37.531399,-77.476009,29,220289,Heroin,TRUE
VA,2015,,Virginia Beach city,,4.3,36.779985,-76.025209,19,452745,Heroin,TRUE
WA,2015,47739,Clark County,1,6.5,45.771674,-122.485903,12,459495,Heroin,TRUE
WA,2015,72450,King County,3,4.3,47.490599,-121.833996,117,2117125,Heroin,TRUE
WA,2015,46852,Pierce County,2,6.5,47.051415,-122.153242,31,843954,Heroin,TRUE
WA,2015,56128,Snohomish County,,4.6,48.054913,-121.766412,46,772501,Heroin,TRUE
WA,2015,44066,Spokane County,,6.6,47.620375,-117.403371,23,490945,Heroin,TRUE
WA,2015,42501,Whatcom County,,6,48.842653,-121.836432,12,212284,Heroin,TRUE
WV,2015,39389,Berkeley County,,4.9,39.448054,-78.037776,22,111901,Heroin,TRUE
WV,2015,40283,Cabell County,,5.5,38.419578,-82.243397,39,96844,Heroin,TRUE
WV,2015,40376,Jefferson County,,4.1,39.307398,-77.86322,12,56482,Heroin,TRUE
WV,2015,44755,Kanawha County,,6,38.328068,-81.523516,30,188332,Heroin,TRUE
WV,2015,38702,Raleigh County,,7.4,37.76247,-81.264671,11,77510,Heroin,TRUE
WI,2015,52037,Dane County,,3.2,43.067468,-89.417852,28,523643,Heroin,TRUE
WI,2015,41632,Kenosha County,,5.1,42.579702,-87.424884,18,168437,Heroin,TRUE
WI,2015,50718,Milwaukee County,,5.8,43.017669,-87.481489,106,957735,Heroin,TRUE
WI,2015,45795,Racine County,,5.6,42.754075,-87.414676,15,195080,Heroin,TRUE
WI,2015,41927,Rock County,,5.2,42.66988,-89.075284,13,161448,Heroin,TRUE
WI,2015,52212,Waukesha County,,3.8,43.019308,-88.306707,19,396488,Heroin,TRUE
AL,2015,33883,Baldwin County,,5.6,30.659218,-87.746067,13,203709,Other opioids,TRUE
AL,2015,52292,Jefferson County,,5.8,33.553444,-86.896536,28,660367,Other opioids,TRUE
AL,2015,44674,Mobile County,,7,30.684572,-88.196568,15,415395,Other opioids,TRUE
AK,2015,57101,Anchorage Borough,,,61.17425,-149.284329,21,298695,Other opioids,TRUE
AK,2015,49045,Kenai Peninsula Borough,,7.8,60.366668,-152.322283,10,58059,Other opioids,TRUE
AZ,2015,42690,Cochise County,,7.2,31.840129,-109.775163,13,126427,Other opioids,TRUE
AZ,2015,50437,Maricopa County,32,5.1,33.346541,-112.495534,162,4167947,Other opioids,TRUE
AZ,2015,35661,Mohave County,1,7.9,35.717705,-113.749689,21,204737,Other opioids,TRUE
AZ,2015,43620,Pima County,3,5.4,32.128523,-111.783027,62,1010025,Other opioids,TRUE
AZ,2015,39747,Pinal County,2,6.3,32.919038,-111.367005,22,406584,Other opioids,TRUE
AR,2015,54849,Benton County,,3.8,36.337825,-94.256187,15,249672,Other opioids,TRUE
AR,2015,34272,Garland County,,5.5,34.578861,-93.146915,13,97177,Other opioids,TRUE
AR,2015,46876,Pulaski County,,4.6,34.770311,-92.312996,15,392664,Other opioids,TRUE
AR,2015,40443,Sebastian County,,4.8,35.196981,-94.274989,12,127780,Other opioids,TRUE
CA,2015,68791,Alameda County,11,4.7,37.647139,-121.912488,32,1638215,Other opioids,TRUE
CA,2015,38786,Butte County,1,7.1,39.665959,-121.601919,12,225411,Other opioids,TRUE
CA,2015,63792,Contra Costa County,4,5,37.919479,-121.951543,27,1126745,Other opioids,TRUE
CA,2015,40790,Fresno County,6,10.2,36.761006,-119.655019,43,974861,Other opioids,TRUE
CA,2015,37327,Humboldt County,,5.6,40.706673,-123.925818,16,135727,Other opioids,TRUE
CA,2015,44142,Kern County,3,10.2,35.346629,-118.729506,34,882176,Other opioids,TRUE
CA,2015,35258,Lake County,,7.6,39.094802,-122.746757,14,64591,Other opioids,TRUE
CA,2015,58742,Los Angeles County,38,6.6,34.196398,-118.261862,168,10170292,Other opioids,TRUE
CA,2015,39718,Madera County,,10.5,37.209821,-119.749802,10,154998,Other opioids,TRUE
CA,2015,38769,Merced County,,11.3,37.194806,-120.722802,16,268455,Other opioids,TRUE
CA,2015,59708,Orange County,20,4.4,33.675687,-117.777207,157,3169776,Other opioids,TRUE
CA,2015,43051,Riverside County,14,6.7,33.729828,-116.002239,53,2361026,Other opioids,TRUE
CA,2015,57067,Sacramento County,5,6,38.450011,-121.340441,17,1501335,Other opioids,TRUE
CA,2015,43396,San Bernardino County,9,6.4,34.85722,-116.181197,15,2128133,Other opioids,TRUE
CA,2015,58069,San Diego County,11,5.2,33.023604,-116.776117,129,3299521,Other opioids,TRUE
CA,2015,97067,San Francisco County,8,,37.727239,-123.032229,38,864816,Other opioids,TRUE
CA,2015,43405,San Joaquin County,2,8.9,37.934982,-121.272244,25,726106,Other opioids,TRUE
CA,2015,43100,San Luis Obispo County,2,4.7,35.385224,-120.447544,16,281401,Other opioids,TRUE
CA,2015,102776,San Mateo County,6,3.4,37.414663,-122.371545,13,765135,Other opioids,TRUE
CA,2015,50269,Santa Barbara County,3,5.3,34.537057,-120.039973,16,444769,Other opioids,TRUE
CA,2015,113390,Santa Clara County,5,4.2,37.220777,-121.690622,34,1918044,Other opioids,TRUE
CA,2015,53453,Solano County,4,6.1,38.267226,-121.939594,10,436092,Other opioids,TRUE
CA,2015,49398,Sonoma County,2,4.5,38.525182,-122.92611,11,502146,Other opioids,TRUE
CA,2015,43756,Stanislaus County,2,9.5,37.562316,-121.002831,12,538388,Other opioids,TRUE
CA,2015,53930,Ventura County,3,5.6,34.358741,-119.133143,21,850536,Other opioids,TRUE
CO,2015,50106,Adams County,,4.4,39.874325,-104.331872,32,491337,Other opioids,TRUE
CO,2015,61063,Arapahoe County,1,3.7,39.644554,-104.331706,51,631096,Other opioids,TRUE
CO,2015,65169,Denver County,4,,39.76185,-104.881105,41,682545,Other opioids,TRUE
CO,2015,46595,El Paso County,2,4.6,38.827383,-104.527472,29,674471,Other opioids,TRUE
CO,2015,52976,Jefferson County,2,3.5,39.579511,-105.245462,33,565524,Other opioids,TRUE
CO,2015,47202,Larimer County,,3.3,40.658093,-105.486764,14,333577,Other opioids,TRUE
CO,2015,46613,Weld County,,3.9,40.555961,-104.383666,12,285174,Other opioids,TRUE
CT,2015,85400,Fairfield County,3,5.4,41.227413,-73.367061,30,948053,Other opioids,TRUE
CT,2015,65251,Hartford County,2,5.9,41.806053,-72.732916,51,895841,Other opioids,TRUE
CT,2015,44713,Litchfield County,,5.1,41.791883,-73.235404,13,183603,Other opioids,TRUE
CT,2015,54530,New Haven County,,6.2,41.349717,-72.900204,49,859470,Other opioids,TRUE
CT,2015,51897,New London County,,5.9,41.472651,-72.108633,19,271863,Other opioids,TRUE
DE,2015,60564,New Castle County,3,4.7,39.575915,-75.644132,20,556779,Other opioids,TRUE
DC,2015,,District of Columbia,1,6.9,38.904103,-77.017229,21,672228,Other opioids,TRUE
FL,2015,46199,Brevard County,1,5.9,28.298304,-80.700331,23,568088,Other opioids,TRUE
